fid,OBJECTID,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
"2","16","22680104",Aix sponsa,"1","1","3","Poole and Gill, 1992; Kear, 2005","WILDSPACETM 2002; Lynda Donaldson (BirdLife International)","2021","0", ,,,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,183.670362196943,72.6765688106382
"3","20","22687583",Amazilia beryllina,"1","1","1","Howell and Webb, 1995; Martin et al., 2016; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,73.8810794654613,59.0733311467947
"4","21","22687414",Amazilia coeruleogularis,"1","1","1","Ridgely and Gwynne, 1989; Zook, 2002; AOU, 1998; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,60.2203815480707,7.54292905285691
"5","22","22687587",Amazilia cyanura,"1","1","1","Howell and Webb, 1995; van Perlo, 2006; Garrigues & Dean, 2007; eBird, 2020","NatureServe, 2002; Lynda Donaldson (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,37.6995995709626,7.48598258848458
"6","23","22687417",Amazilia lilliae,"3","1","1","BirdLife International; eBird, 2018, 2020","Joe Taylor (BirdLife International); Hannah Wheatley (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,4.02578287918703,0.0449143420096331
"10","27","22687624",Amazilia violiceps,"1","1","3","eBird, 2020",Claudia Hermes (BirdLife International),"2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,16.6494539022538,4.59794998576874
"12","30","22686342",Amazona auropalliata,"1","1","1","Howell and Webb, 1995; Lousada and Howell, 1996; Juniper and Parr, 1998; Forshaw, 2006; Forshaw, 2010; eBird, 2020","Joe Taylor (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,60.3179492847035,11.5430696890476
"14","32","22686325",Amazona barbadensis,"3","1","1",BirdLife International,"BirdLife International; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,18.6612410800656,1.44501925957745
"17","35","22686259",Amazona viridigenalis,"1","1","1","BirdLife International; eBird, 2021","BirdLife International; Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,18.0746736557391,1.0769177387958
"18","36","22686259",Amazona viridigenalis,"4","1","1","BirdLife International; eBird, 2021","BirdLife International; Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,28.7715581987976,4.88670292063216
"20","38","22686226",Amazona xantholora,"3","1","1","Howell and Webb, 1995; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,1.40960367651608,0.0104984423536678
"21","39","22686226",Amazona xantholora,"1","1","1","Howell and Webb, 1995; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,25.0830789945275,12.1495362303983
"22","43","22721194",Amphispiza bilineata,"1","1","1","Sibley, 2000; Howell and Webb, 1995; Poole & Gill, 1992-2002; del Hoyo et al, 2011","NatureServe, 2005; Anna Motis (HBW)","2021","0", ,,,"0","2022.1",2018,BirdLife International and Handbook of the Birds of the World,137.408413929269,148.515115671021
"23","55","22679896",Anser caerulescens,"1","1","3","Ridgley, 2003; Kear, 2005; Sibley, 2005;Poole and Gill, 1992-2002","NatureServe, 2002, Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,367.299713241313,175.08385465057
"24","75","22736393",Antrostomus vociferus,"1","1","3","Ridgley, 2003; del Hoyo et al, 1999; Cleere & Nurney, 1998; Sibley, 2011","NatureServe, Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,143.86654462782,65.5195363020438
"25","79","22685542",Ara glaucogularis,"1","1","1","BirdLife International; eBird; Herrera Hurtado, 2009; Herzog et al., 2012, 2020","Joe Taylor (BirdLife International); Hannah Wheatley (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,9.94085368125067,2.53417661853886
"28","82","22692565",Aramides axillaris,"1","1","1","Howell and Webb, 1995; Taylor & van Perlo, 1998; Ridgely & Greenfield, 2001; Downing, 2005; Villavicencio, 2007; Solano-Ugalde, 2009; McMullan, 2010; Pratolongo et al, 2012; GBIF.org, 2021","NatureServe, 2002; Lynda Donaldson; Joe Taylor (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,260.805003232449,39.082535644624
"29","84","22688196",Archilochus alexandri,"1","1","4","Sibley, 2000; Howell and Webb, 1995","NatureServe, 2002","2021","0", ,,,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,118.845908715831,115.030502915724
"31","88","22688193",Archilochus colubris,"1","1","3","Poole and Gill, 1992; Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","WILDSPACETM 2002, Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,166.611375129246,75.775343206356
"32","89","22688193",Archilochus colubris,"1","1","4","Sibley, 2000; Howell and Webb, 1995; Raffaele et al., 1998","NatureServe, 2002, Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,173.193042697812,151.395718819141
"33","91","22698201",Ardenna gravis,"1","1","3","Seabird Tracking Database, Onley & Scofield, 2007; Brooke, 2003","Colin Michel, Jemma Able (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,1855.6182352974,6645.8565325521
"34","104","22689522",Asio clamator,"1","1","1","Ridgely, 2002; eBird, 2021","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", , ,"See Olson (1995) for placing this species in Pseudoscops rather than Asio, where usually placed.","0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,468.292875725361,785.710959249711
"35","107","22689507",Asio otus,"1","1","3","Ridgley, 2003; Fry, 1988; del Hoyo et al, 1999; Mackinnon & Phillipps, 2000; Rasmussen & Anderton, 2004, Cramp, 1997; Poole and Gill, 1992-2002; eBird, 2013","Rob Martin (BirdLife International); Hannah Wheatley (BirdLife International)","2021","0", , , ,"0","2022.1",2018,BirdLife International and Handbook of the Birds of the World,1035.2252619242,746.044747854932
"40","113","22702569",Asthenes urubambensis,"1","1","1","BirdLife International; eBird, 2020","BirdLife International; Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,36.7055445029279,5.34064780329453
"41","114","22724596",Atlapetes melanopsis,"1","1","1","BirdLife International; Hosner et al., 2015; eBird, 2020","BirdLife International; Hannah Wheatley (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,4.92102395955861,0.357826049172063
"42","115","22680402",Aythya affinis,"1","1","3","Peterson, 1980; Peterson, 1990; Poole & Gill 1992-2002; Rappole et al., 1983; SACC, 2013","NatureServe, 2005; Lynda Donaldson (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,977.019896154886,568.058788221569
"43","119","22680367",Aythya americana,"1","1","3","Godfrey, 1986; Peterson, 1980; Peterson, 1990; Scott, 1983","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,704.814606128586,422.085860276039
"46","125","22680370",Aythya collaris,"1","1","3","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,897.784308065064,584.618656156285
"47","130","22680364",Aythya valisineria,"1","1","3","Peterson, 1980; Peterson, 1990; Rappole et al., 1983","NatureServe, 2005; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,690.332131032785,553.405705518016
"50","134","22708153",Bombycilla cedrorum,"1","1","3","Raffaele et al., 1998; eBird, 2020","WILDSPACETM 2002; NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,620.470753332588,459.851155579808
"52","146","22733619",Branta hutchinsii,"1","1","4","Alderfer, 2006",Joe Taylor (BirdLife International),"2021","0", ,,,"0","2022.1",2010,BirdLife International and Handbook of the Birds of the World,1177.64233222758,1501.86078784387
"53","148","22733619",Branta hutchinsii,"1","1","3","Alderfer, 2006;Brazil, 2009; Mlodinov et al. 2008","Rob Martin, Joe Taylor (BirdLife International)","2021","0", ,,,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,147.811981624767,109.362647936881
"54","153","22685966",Brotogeris pyrrhoptera,"1","1","1","BirdLife International; Ridgely & Greenfield, 2001; eBird, 2014, 2021; Schulenberg et al. 2007; Dickinson & Remsen, 2013","Rob Martin (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,23.0893181279278,2.09910334280882
"57","173","22721049",Calamospiza melanocorys,"1","1","3","Ridgley, 2003; Alderfer, 2006; Byers et al, 1995; Peterson, 1980; Peterson, 1990; Rappole et al., 1983; Poole and Gill, 1992","WILDSPACETM 2002; NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,139.832831676827,142.28319929042
"58","183","22680101",Callonetta leucophrys,"1","1","1","Ridgely, 2002; GBIF 2021","NatureServe, 2002; Hannah Wheatley (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,160.183433133837,292.394054518965
"61","186","22688185",Calothorax lucifer,"1","1","2","Poole and Gill, 1992-2002; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,29.3290501068462,16.017286373955
"62","187","22688185",Calothorax lucifer,"1","1","4","eBird, 2020",Claudia Hermes (BirdLife International),"2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,17.0868915021461,5.71980401169596
"63","188","22688189",Calothorax pulcher,"1","1","1","Howell and Webb, 1995; eBird, 2020","NatureServe, 2002; Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,15.4714408392823,5.48432175676364
"66","195","200277707",Campylopterus calcirupicola,"1","1","1","Lopes 2017; WikiAves 2021",Hannah Wheatley (BirdLife International),"2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,12.9498290700175,11.2150972478167
"68","197","200278757",Campylopterus diamantinensis,"1","1","1","Vasconcelos and Melo Junior 2001, Vasconcelos 2009, Vasconcelos and Rodrigues 2010, Chaves 2014, Lopes et al. 2017",Hannah Wheatley (BirdLife International),"2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,19.8680211965563,0.930735436763935
"69","198","200273649",Campylopterus largipennis,"1","1","1","Ridgely, 2002; Lopes et al. 2017; GBIF.org 2021; WikiAves 2021","WWF-US, 2000; NatureServe, 2002; Donal Smith (BirdLife International); Hannah Wheatley (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,174.16131790208,582.927401657177
"70","199","103670382",Campylorhamphus multostriatus,"1","1","1","Ridgely, 2002; Aleixo et al, 2013; Aleixo et al. 2018; GBIF.org 2021","NatureServe, 2002; Hannah Wheatley (BirdLife International)","2021","0", , , ,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,24.2474954983879,15.6943324359048
"71","200","22711316",Campylorhynchus albobrunneus,"1","1","1","Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","NatureServe, 2002","2021","0", ,,,"0","2022.1",2021,BirdLife International and Handbook of the Birds of the World,43.4236496046514,12.1196860923073
"72","201","103887650",Campylorhynchus capistratus,"1","1","1","Zook, 2002; eBird, 2016, 2020","NatureServe, 2002; Jacob Willmore (BirdLife International); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,54.063620822592,18.8529339441709
"73","202","22711296",Campylorhynchus chiapensis,"1","1","1","Howell and Webb, 1995; eBird, 2018, 2020","NatureServe, 2002; Anna Motis (HBW); Claudia Hermes (BirdLife International)","2021","0", ,,,"0","2022.1",2020,BirdLife International and Handbook of the Birds of the World,5.85239192837007,0.835901998363381
