species,presence_categories,origin_categories,seasonal_categories
Abeillia abeillei,1,1,1
Aburria aburri,1,1,1
Acanthidops bairdi,1,1,1
Accipiter bicolor,1,1,1
Accipiter collaris,1,1,1
Accipiter cooperii,1,1,3
Accipiter poliogaster,1,1,1
Accipiter striatus,1,1,"1, 3"
Accipiter superciliosus,1,1,1
Acrobatornis fonsecai,1,1,1
Acropternis orthonyx,1,1,1
Actitis macularius,1,1,3
Adelomyia melanogenys,1,1,1
Aechmophorus clarkii,1,1,1
Aechmophorus occidentalis,1,1,1
Aegolius acadicus,1,1,1
Aegolius harrisii,1,1,1
Aegolius ridgwayi,1,1,1
Aeronautes andecolus,1,1,1
Aeronautes montivagus,1,1,1
Aeronautes saxatalis,1,1,1
Agamia agami,1,1,1
Agelaioides badius,1,1,1
Agelaioides fringillarius,1,1,1
Agelaius phoeniceus,1,1,1
Agelasticus thilius,1,1,"1, 3"
Agelasticus xanthophthalmus,1,1,1
Aglaeactis castelnaudii,1,1,1
Aglaeactis cupripennis,1,1,1
Aglaiocercus coelestis,"1, 3",1,1
Aglaiocercus kingii,1,1,1
Agriornis albicauda,1,1,1
Agriornis micropterus,1,1,3
Agriornis montanus,1,1,1
Agriornis murinus,1,1,3
Aimophila notosticta,1,1,1
Aimophila rufescens,1,1,1
Aimophila ruficeps,1,1,1
Aix sponsa,1,1,3
Akletos goeldii,1,1,1
Akletos melanoceps,1,1,1
Alectrurus risora,"1, 3, 4",1,1
Alectrurus tricolor,"1, 4",1,1
Alipiopsitta xanthops,1,1,1
Alopochelidon fucata,1,1,"1, 5"
Amaurolimnas concolor,"3, 1",1,1
Amaurospiza moesta,1,1,1
Amazilia alfaroana,1,1,1
Amazilia amabilis,1,1,1
Amazilia amazilia,1,1,1
Amazilia bartletti,1,1,1
Amazilia beryllina,1,1,1
Amazilia boucardi,1,1,1
Amazilia brevirostris,1,1,1
Amazilia candida,1,1,"3, 1"
Amazilia chionogaster,1,1,1
Amazilia chrysura,1,1,1
Amazilia coeruleogularis,1,1,1
Amazilia cupreicauda,1,1,1
Amazilia cyanocephala,1,1,1
Amazilia cyanura,1,1,1
Amazilia cyanus,1,1,1
Amazilia decora,1,1,1
Amazilia edward,1,1,1
Amazilia eliciae,1,1,1
Amazilia fimbriata,1,1,1
Amazilia franciae,1,1,1
Amazilia goudoti,1,1,1
Amazilia grayi,1,1,1
Amazilia humboldtii,1,1,1
Amazilia julie,1,1,1
Amazilia lactea,1,1,1
Amazilia leucogaster,1,1,1
Amazilia lilliae,3,1,1
Amazilia luciae,"1, 3",1,1
Amazilia oenone,1,1,1
Amazilia rosenbergi,1,1,1
Amazilia rutila,1,1,1
Amazilia sapphirina,1,1,1
Amazilia saucerottei,1,1,1
Amazilia tobaci,1,1,1
Amazilia tzacatl,1,1,1
Amazilia versicolor,1,1,1
Amazilia violiceps,1,1,3
Amazilia viridicauda,1,1,1
Amazilia viridifrons,1,1,1
Amazilia viridigaster,1,1,1
Amazilia yucatanensis,1,1,1
Amazona aestiva,1,1,1
Amazona albifrons,1,1,1
Amazona amazonica,1,1,1
Amazona auropalliata,1,1,1
Amazona autumnalis,1,1,1
Amazona barbadensis,3,1,1
Amazona bodini,1,1,1
Amazona brasiliensis,1,1,1
Amazona diadema,1,1,1
Amazona dufresniana,1,1,1
Amazona farinosa,1,1,1
Amazona festiva,1,1,1
Amazona guatemalae,1,1,1
Amazona kawalli,1,1,1
Amazona lilacina,1,1,1
Amazona mercenarius,1,1,1
Amazona ochrocephala,1,1,1
Amazona oratrix,"1, 4, 3",1,1
Amazona pretrei,"1, 4",1,"2, 3, 1"
Amazona rhodocorytha,"4, 1",1,1
Amazona vinacea,"1, 4, 3",1,1
Amazona viridigenalis,"1, 4",1,1
Amazona xantholora,"3, 1",1,1
Amazonetta brasiliensis,1,1,1
Amblycercus holosericeus,1,1,1
Amblyramphus holosericeus,1,1,1
Ammodramus aurifrons,1,1,1
Ammodramus humeralis,1,1,1
Ammodramus savannarum,1,1,"3, 1"
Ammonastes pelzelni,1,1,1
Ampelioides tschudii,1,1,1
Ampelion rubrocristatus,1,1,1
Ampelion rufaxilla,1,1,1
Amphispiza bilineata,1,1,1
Anabacerthia amaurotis,1,1,1
Anabacerthia lichtensteini,1,1,1
Anabacerthia ruficaudata,1,1,1
Anabacerthia striaticollis,1,1,1
Anabacerthia variegaticeps,1,1,1
Anabazenops dorsalis,1,1,1
Anabazenops fuscus,1,1,1
Anairetes flavirostris,1,1,1
Anairetes parulus,1,1,1
Anas acuta,1,1,3
Anas andium,1,1,1
Anas bahamensis,1,1,1
Anas carolinensis,1,1,3
Anas flavirostris,1,1,1
Anas fulvigula,1,1,"1, 3"
Anas georgica,1,1,1
Anas platyrhynchos,1,1,3
Ancistrops strigilatus,1,1,1
Andigena cucullata,1,1,1
Andigena hypoglauca,1,1,1
Andigena laminirostris,1,1,1
Andigena nigrirostris,1,1,1
Androdon aequatorialis,1,1,1
Anhima cornuta,1,1,1
Anhinga anhinga,1,1,1
Anisognathus flavinucha,1,1,1
Anisognathus igniventris,1,1,1
Anisognathus lacrymosus,1,1,1
Anisognathus lunulatus,1,1,1
Anisognathus notabilis,1,1,1
Anisognathus somptuosus,1,1,1
Anodorhynchus glaucus,4,1,1
Anodorhynchus hyacinthinus,"4, 1, 3",1,1
Anous minutus,1,1,3
Anous stolidus,1,1,"1, 3"
Anser albifrons,1,1,"4, 3"
Anser caerulescens,1,1,3
Anthracothorax nigricollis,"1, 3",1,1
Anthracothorax prevostii,1,1,"1, 4"
Anthracothorax veraguensis,1,1,1
Anthracothorax viridigula,1,1,1
Anthus bogotensis,1,1,1
Anthus chacoensis,1,1,1
Anthus correndera,1,1,1
Anthus furcatus,1,1,1
Anthus hellmayri,1,1,1
Anthus lutescens,1,1,1
Anthus nattereri,"3, 1",1,1
Anthus rubescens,1,1,3
Anthus spragueii,1,1,3
Antilophia galeata,1,1,1
Antrostomus arizonae,1,1,1
Antrostomus badius,1,1,"1, 3"
Antrostomus carolinensis,1,1,3
Antrostomus ridgwayi,1,1,1
Antrostomus rufus,1,1,"1, 4"
Antrostomus salvini,1,1,1
Antrostomus saturatus,1,1,1
Antrostomus sericocaudatus,1,1,1
Antrostomus vociferus,1,1,3
Anumara forbesi,1,1,1
Anumbius annumbi,1,1,1
Aphanotriccus audax,1,1,1
Aphanotriccus capitalis,"3, 1",1,1
Aphantochroa cirrochloris,1,1,1
Aphelocoma californica,1,1,1
Aphelocoma ultramarina,1,1,1
Aphelocoma unicolor,1,1,1
Aphelocoma wollweberi,1,1,1
Aprositornis disjuncta,1,1,1
Aquila chrysaetos,1,1,1
Ara ambiguus,"4, 1, 3",1,1
Ara ararauna,"1, 3",1,1
Ara chloropterus,1,1,1
Ara glaucogularis,1,1,1
Ara macao,"4, 1",1,1
Ara militaris,"4, 1, 3",1,1
Ara severus,1,1,1
Aramides albiventris,1,1,1
Aramides axillaris,1,1,1
Aramides cajaneus,1,1,1
Aramides calopterus,1,1,1
Aramides mangle,1,1,1
Aramides saracura,1,1,1
Aramides wolfi,1,1,1
Aramides ypecaha,1,1,1
Aramus guarauna,1,1,1
Aratinga auricapillus,"1, 3",1,1
Aratinga jandaya,1,1,1
Aratinga maculata,1,1,1
Aratinga solstitialis,"1, 4",1,1
Aratinga weddellii,1,1,1
Archilochus alexandri,1,1,4
Archilochus colubris,1,1,"3, 4"
Ardea alba,1,1,"1, 3"
Ardea cocoi,1,1,1
Ardea herodias,1,1,"3, 1"
Ardea occidentalis,3,1,1
Ardenna bulleri,1,1,1
Ardenna creatopus,1,1,1
Ardenna gravis,1,1,3
Ardenna grisea,1,1,3
Arenaria interpres,1,1,3
Arremon abeillei,1,1,1
Arremon assimilis,1,1,1
Arremon atricapillus,1,1,1
Arremon aurantiirostris,1,1,1
